lon,lat,HeatFlow,method,error,distancia,error_dist,ix_Grilla
-63.6,-21.99,55.0,3.0,17.0,788.8976371469238,0.0125053139171735,[]
-63.95,-20.04,32.0,3.0,17.0,772.9109266261173,0.0032915941358494,[]
-62.93,-17.55,54.0,3.0,17.0,1136.376905133313,0.0,[]
-62.29,-17.98,37.0,3.0,17.0,1138.0630370428496,0.0080790656464263,[]
-63.1,-21.17,49.0,3.0,17.0,845.1017752843773,0.0064180808458785,[]
-62.97,-17.97,38.0,3.0,17.0,1066.1591619148585,0.0054519491913348,[]
-63.22,-20.76,43.0,3.0,17.0,834.8930285587971,0.003222839043226,[]
-62.91,-18.16,43.0,3.0,17.0,1050.1569599418533,0.0028117243451809,[]
-63.28,-18.49,39.0,3.0,17.0,967.144985761676,0.0106193336940919,[]
-63.53,-19.14,36.0,3.0,17.0,873.8656433812932,0.0031154663018199,[]
-62.22,-18.38,45.0,3.0,17.0,1090.0910681838543,0.0082414717347378,[]
-63.29,-21.25,42.0,3.0,17.0,824.8448396709842,0.0,[]
-63.19,-20.93,47.0,3.0,17.0,836.8965621521172,0.0070421389147908,[]
-64.04,-17.02,43.0,3.0,17.0,1085.2805873595605,0.0085151970033956,[]
-62.96,-20.25,38.0,3.0,20.0,875.1699134212774,0.0,[]
-68.92,-22.37,55.0,3.0,30.0,239.61925960462327,0.0028720045558767,"[4300, 4301, 4380, 4381]"
-70.09,-23.43,24.0,3.0,10.0,128.53373046861435,0.0225295222859919,"[5088, 5089, 6768, 6769]"
-70.18,-22.68,17.0,3.0,10.0,109.80220527795034,0.0352010126145648,"[4527, 4528, 4607, 4608]"
-68.91,-22.82,47.0,3.0,10.0,250.02152309137443,0.0199236132836101,"[4620, 4621, 4700, 4701]"
-73.546,-37.652,63.0,3.0,14.285714285714285,88.3912067844462,0.0010300529016639,"[21294, 21295, 21374, 21375]"
-69.917,-19.683,93.0,3.0,16.129032258064516,171.00639228436367,0.0127306817689512,"[2130, 2131, 2210, 2211]"
-72.833,-38.583,89.0,3.0,12.359550561797752,166.7026303871799,0.0012713022168518,"[22021, 22022, 22101, 22102]"
-75.578,-42.841,72.0,1.0,16.8,10.434711293363126,0.4639385209330436,"[28843, 28844, 28868, 28869]"
-75.566,-42.839,68.0,1.0,16.8,9.456457272152557,0.8348390998911167,"[28843, 28844, 28868, 28869]"
-75.554,-42.838,62.0,1.0,16.8,8.478203202977792,1.225318633720084,"[28843, 28844, 28868, 28869]"
-75.542,-42.837,60.0,1.0,16.8,7.499949090802619,1.8171869993661032,"[28844, 28845, 28869, 28870]"
-75.53,-42.835,59.0,1.0,16.8,6.521694940586678,3.1292906736767545,"[28844, 28845, 28869, 28870]"
-75.206,-42.793,59.0,1.0,16.8,19.92333734939453,2.729117296699411,"[28847, 28848, 28872, 28873]"
-75.074,-40.68,31.0,1.0,16.8,6.411667848526456,11.272731276872287,"[28323, 28324, 28348, 28349]"
-75.062,-40.679,33.0,1.0,16.8,7.424036377492965,8.26183872522236,"[28323, 28324, 28348, 28349]"
-75.05,-40.678,39.0,1.0,16.8,8.436404871908902,6.167537528270445,"[23680, 23760, 28324, 28349]"
-75.038,-40.677,27.0,1.0,16.8,9.448773327065108,4.67778332712535,"[23680, 23760, 28324, 28349]"
-75.026,-40.675,40.0,1.0,16.8,10.46114173824814,3.3371752492466915,"[23680, 23760, 28324, 28349]"
-75.015,-40.674,47.0,1.0,16.8,11.38914607251404,2.620531795025744,"[23680, 23760, 28324, 28349]"
-73.738,-36.212,52.5,1.0,16.8,45.91235489459437,0.4448178629957541,"[16892, 16893, 20172, 20173]"
-73.748,-36.21,41.9,1.0,16.8,45.01563123877787,0.5097904015942022,"[16892, 16893, 20172, 20173]"
-73.76,-36.209,42.4,1.0,16.8,43.93956269378717,0.5597573153147436,"[16891, 16892, 20171, 20172]"
-73.77,-36.208,41.8,1.0,16.8,43.042838777420165,0.6098646391647056,"[16891, 16892, 20171, 20172]"
-73.781,-36.206,42.9,1.0,16.8,42.05644233712872,0.6974562049866915,"[16891, 16892, 20171, 20172]"
-73.792,-36.204,42.7,1.0,16.8,41.070045761335415,0.7953761136479243,"[16891, 16892, 20171, 20172]"
-73.804,-36.203,33.8,1.0,16.8,39.99397661875392,0.8722980953356579,"[16891, 16892, 20171, 20172]"
-73.829,-36.199,37.1,1.0,16.8,37.80042055093754,0.9925917501506072,"[16891, 16892, 20171, 20172]"
-73.836,-36.198,39.7,1.0,16.8,37.17191095508996,0.9854720203947614,"[16891, 16892, 20171, 20172]"
-74.178,-36.151,19.3,1.0,16.8,6.464684911944861,0.0141521299241275,"[16887, 16888, 20167, 20168]"
-74.154,-36.152,20.2,1.0,16.8,8.619579729092981,0.0319930667881044,"[16887, 16888, 20167, 20168]"
-74.131,-36.156,21.8,1.0,16.8,10.684687139158449,0.190577042548707,"[16888, 16889, 20168, 20169]"
-74.111,-36.161,20.8,1.0,16.8,12.480432592397936,0.4699034471272452,"[16888, 16889, 20168, 20169]"
-74.071,-36.165,33.2,1.0,16.8,16.07192308295764,0.524778801286303,"[16888, 16889, 20168, 20169]"
-74.057,-36.167,41.3,1.0,16.8,17.328944601451617,0.5790613852014485,"[16888, 16889, 20168, 20169]"
-74.037,-36.169,59.4,1.0,16.8,19.12468947011802,0.5927550809362736,"[16889, 16890, 20169, 20170]"
-74.017,-36.172,45.3,1.0,16.8,20.92043413605976,0.6629877142141649,"[16889, 16890, 20169, 20170]"
-74.005,-36.175,55.0,1.0,16.8,21.99788083039653,0.7734631596840855,"[16889, 16890, 20169, 20170]"
-73.994,-36.176,48.8,1.0,16.8,22.98554022656181,0.765542973781325,"[16889, 16890, 20169, 20170]"
-73.985,-36.178,58.3,1.0,16.8,23.79362513238216,0.8278726688249672,"[16889, 16890, 20169, 20170]"
-73.972,-36.18,49.2,1.0,16.8,24.960858794612303,0.8626055993815633,"[16889, 16890, 20169, 20170]"
-72.356,-33.472,34.0,1.0,16.8,45.83205339843006,0.1295074795136458,"[14745, 14746, 14825, 14826]"
-72.337,-33.478,38.0,1.0,16.8,47.59482117123323,0.1972312096638376,"[14746, 14747, 14826, 14827]"
-72.318,-33.481,46.0,1.0,16.8,49.357588546476606,0.2252290622879545,"[14746, 14747, 14826, 14827]"
-72.301,-33.484,50.0,1.0,16.8,50.934801112134,0.2548820170038485,"[14746, 14747, 14826, 14827]"
-72.281,-33.489,57.0,1.0,16.8,52.79034487016449,0.3134410666009387,"[14746, 14747, 14826, 14827]"
-72.262,-33.493,53.0,1.0,16.8,54.553110987994685,0.3573709906874818,"[14746, 14747, 14826, 14827]"
-72.244,-33.497,52.0,1.0,16.8,56.22309952162603,0.4024732103708582,"[14747, 14748, 14827, 14828]"
-72.225,-33.502,55.0,1.0,16.8,57.91891718080918,0.4493221931536748,"[14747, 14748, 14827, 14828]"
